,price,location,total_sqft,bhk,bath
129,7000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1898.0,4.0,3.0
130,2500000.0,"DLF Ankur Vihar, Ghaziabad, Delhi NCR",800.0,2.0,2.0
131,2700000.0,"DLF Ankur Vihar, Ghaziabad, Delhi NCR",900.0,2.0,2.0
132,3200000.0,"DLF Ankur Vihar, Ghaziabad, Delhi NCR",1100.0,3.0,2.0
133,2300000.0,"DLF Ankur Vihar, Ghaziabad, Delhi NCR",700.0,2.0,2.0
134,2830000.0,"DLF Ankur Vihar, Ghaziabad, Delhi NCR",880.0,2.0,2.0
135,2100000.0,"DLF Ankur Vihar, Ghaziabad, Delhi NCR",650.0,2.0,2.0
136,18500000.0,"DLF City Phase 2, Gurgaon, Delhi NCR",2092.0,3.0,3.0
137,22500000.0,"DLF City Phase 2, Gurgaon, Delhi NCR",2400.0,3.0,4.0
138,13500000.0,"DLF City Phase 2, Gurgaon, Delhi NCR",1600.0,3.0,3.0
139,12000000.0,"Dwarka Expressway, Gurgaon, Delhi NCR",1835.0,3.0,3.0
140,11700000.0,"Dwarka Expressway, Gurgaon, Delhi NCR",1700.0,3.0,3.0
141,6500000.0,"Dwarka Expressway, Gurgaon, Delhi NCR",1225.0,3.0,2.0
142,4500000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",800.0,3.0,2.0
145,5100000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",1001.0,3.0,2.0
146,3200000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",612.0,2.0,2.0
147,4000000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",1100.0,2.0,2.0
148,1900000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",540.0,2.0,2.0
149,3500000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",650.0,2.0,2.0
151,3030000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",600.0,2.0,2.0
152,5000000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",1000.0,3.0,2.0
153,3000000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",650.0,2.0,2.0
154,5500000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",950.0,3.0,2.0
155,2900000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",590.0,2.0,2.0
156,16000000.0,"Dwarka, New Delhi - Dwarka, Delhi NCR",2000.0,4.0,3.0
157,8500000.0,"Dwarka, New Delhi - Dwarka, Delhi NCR",1000.0,3.0,3.0
158,14500000.0,"Dwarka, New Delhi - Dwarka, Delhi NCR",1950.0,3.0,3.0
159,3200000.0,"Eta 2, Greater Noida, Delhi NCR",1005.0,2.0,2.0
160,3500000.0,"Eta 2, Greater Noida, Delhi NCR",1100.0,2.0,2.0
161,4700000.0,"Eta 2, Greater Noida, Delhi NCR",1189.0,2.0,2.0
162,3900000.0,"Eta 2, Greater Noida, Delhi NCR",1050.0,3.0,2.0
163,3500000.0,"Eta 2, Greater Noida, Delhi NCR",995.0,3.0,2.0
164,4700000.0,"Eta 2, Greater Noida, Delhi NCR",1399.0,3.0,3.0
165,4300000.0,"Eta 2, Greater Noida, Delhi NCR",1195.0,2.0,2.0
166,6000000.0,"Eta 2, Greater Noida, Delhi NCR",1875.0,3.0,3.0
167,7000000.0,"G T Road, Ghaziabad, Delhi NCR",1690.0,3.0,3.0
168,7000000.0,"G T Road, Ghaziabad, Delhi NCR",1820.0,3.0,3.0
169,7100000.0,"G T Road, Ghaziabad, Delhi NCR",1690.0,3.0,3.0
170,5500000.0,"G T Road, Ghaziabad, Delhi NCR",1350.0,3.0,3.0
171,6300000.0,"G T Road, Ghaziabad, Delhi NCR",1690.0,3.0,3.0
172,3540000.0,"Govindpuram, Ghaziabad, Delhi NCR",1025.0,2.0,2.0
173,4000000.0,"Govindpuram, Ghaziabad, Delhi NCR",1090.0,2.0,2.0
174,3329999.9999999995,"Govindpuram, Ghaziabad, Delhi NCR",985.0,2.0,2.0
175,3200000.0,"Govindpuram, Ghaziabad, Delhi NCR",1000.0,2.0,2.0
177,3800000.0,"Govindpuram, Ghaziabad, Delhi NCR",1020.0,2.0,2.0
178,3600000.0,"Govindpuram, Ghaziabad, Delhi NCR",1025.0,2.0,2.0
179,4000000.0,"Govindpuram, Ghaziabad, Delhi NCR",1240.0,2.0,2.0
181,5400000.0,"Govindpuram, Ghaziabad, Delhi NCR",1575.0,3.0,2.0
182,2200000.0,"Govindpuram, Ghaziabad, Delhi NCR",700.0,2.0,2.0
183,4100000.0,"Greater Noida West, Greater Noida, Delhi NCR",1035.0,2.0,2.0
185,3200000.0,"Greater Noida West, Greater Noida, Delhi NCR",875.0,2.0,2.0
186,4900000.0,"Greater Noida West, Greater Noida, Delhi NCR",1200.0,2.0,2.0
187,3140000.0,"Greater Noida West, Greater Noida, Delhi NCR",835.0,2.0,2.0
188,4000000.0,"Greater Noida West, Greater Noida, Delhi NCR",1050.0,2.0,2.0
189,4100000.0,"Greater Noida West, Greater Noida, Delhi NCR",1025.0,2.0,2.0
190,3400000.0,"Greater Noida West, Greater Noida, Delhi NCR",845.0,2.0,2.0
193,3500000.0,"Greater Noida West, Greater Noida, Delhi NCR",995.0,2.0,2.0
194,4500000.0,"Greater Noida West, Greater Noida, Delhi NCR",1224.0,2.0,2.0
195,5350000.0,"Greater Noida West, Greater Noida, Delhi NCR",1300.0,3.0,2.0
196,3400000.0,"Greater Noida West, Greater Noida, Delhi NCR",835.0,2.0,2.0
198,4600000.0,"Greater Noida West, Greater Noida, Delhi NCR",1080.0,2.0,2.0
199,4000000.0,"Greater Noida West, Greater Noida, Delhi NCR",1106.0,2.0,2.0
200,3600000.0,"Greater Noida West, Greater Noida, Delhi NCR",995.0,2.0,2.0
201,3900000.0,"Greater Noida West, Greater Noida, Delhi NCR",900.0,2.0,2.0
202,4800000.0,"Greater Noida West, Greater Noida, Delhi NCR",1225.0,2.0,2.0
203,3800000.0,"Greater Noida West, Greater Noida, Delhi NCR",910.0,2.0,2.0
207,4500000.0,"Greater Noida West, Greater Noida, Delhi NCR",1095.0,2.0,2.0
209,4000000.0,"Greater Noida West, Greater Noida, Delhi NCR",975.0,2.0,2.0
210,3700000.0,"Greater Noida West, Greater Noida, Delhi NCR",995.0,2.0,2.0
211,8500000.0,"Greater Noida West, Greater Noida, Delhi NCR",1990.0,4.0,4.0
212,4890000.0,"Greater Noida West, Greater Noida, Delhi NCR",1175.0,2.0,2.0
213,4000000.0,"Greater Noida West, Greater Noida, Delhi NCR",945.0,2.0,2.0
214,4300000.0,"Greater Noida West, Greater Noida, Delhi NCR",1025.0,2.0,2.0
215,4200000.0,"Greater Noida West, Greater Noida, Delhi NCR",1025.0,2.0,2.0
216,9400000.0,"Greater Noida West, Greater Noida, Delhi NCR",2200.0,4.0,4.0
217,3600000.0,"Greater Noida West, Greater Noida, Delhi NCR",975.0,2.0,2.0
218,6000000.0,"Greater Noida West, Greater Noida, Delhi NCR",1425.0,3.0,3.0
219,5800000.0,"Greater Noida West, Greater Noida, Delhi NCR",1430.0,3.0,2.0
220,5600000.0,"Greater Noida West, Greater Noida, Delhi NCR",1400.0,3.0,3.0
222,4000000.0,"Greater Noida West, Greater Noida, Delhi NCR",1075.0,2.0,2.0
223,5200000.0,"Greater Noida West, Greater Noida, Delhi NCR",1220.0,3.0,2.0
224,4700000.0,"Greater Noida West, Greater Noida, Delhi NCR",1090.0,3.0,2.0
225,4300000.0,"Greater Noida West, Greater Noida, Delhi NCR",1155.0,2.0,2.0
226,4000000.0,"Greater Noida West, Greater Noida, Delhi NCR",1040.0,2.0,2.0
